"Step","centralized_office_home_epochs_200 - train/invariance_loss","centralized_office_home_epochs_200 - train/invariance_loss__MIN","centralized_office_home_epochs_200 - train/invariance_loss__MAX"
"1","0.17706014381514656","0.17706014381514656","0.17706014381514656"
"2","0.18285191886954838","0.18285191886954838","0.18285191886954838"
"3","0.18606126142872703","0.18606126142872703","0.18606126142872703"
"4","0.19292064838939244","0.19292064838939244","0.19292064838939244"
"5","0.1944882637924618","0.1944882637924618","0.1944882637924618"
"6","0.19498754209942287","0.19498754209942287","0.19498754209942287"
"7","0.19784503678480783","0.19784503678480783","0.19784503678480783"
"8","0.19886260562472874","0.19886260562472874","0.19886260562472874"
"9","0.19980274140834808","0.19980274140834808","0.19980274140834808"
"10","0.20133103595839608","0.20133103595839608","0.20133103595839608"
"11","0.20510210593541464","0.20510210593541464","0.20510210593541464"
"12","0.20542659527725643","0.20542659527725643","0.20542659527725643"
"13","0.2101976838376787","0.2101976838376787","0.2101976838376787"
"14","0.20618333253595564","0.20618333253595564","0.20618333253595564"
"15","0.20545401672522226","0.20545401672522226","0.20545401672522226"
"16","0.21206849813461304","0.21206849813461304","0.21206849813461304"
"17","0.20817422535684374","0.20817422535684374","0.20817422535684374"
"18","0.20963948965072632","0.20963948965072632","0.20963948965072632"
"19","0.21094900204075706","0.21094900204075706","0.21094900204075706"
"20","0.210375072227584","0.210375072227584","0.210375072227584"
"21","0.2128642333878411","0.2128642333878411","0.2128642333878411"
"22","0.21175764501094818","0.21175764501094818","0.21175764501094818"
"23","0.21111871467696297","0.21111871467696297","0.21111871467696297"
"24","0.2129034913248486","0.2129034913248486","0.2129034913248486"
"25","0.21282910307248434","0.21282910307248434","0.21282910307248434"
"26","0.21492202911112043","0.21492202911112043","0.21492202911112043"
"27","0.214267212483618","0.214267212483618","0.214267212483618"
"28","0.214250182112058","0.214250182112058","0.214250182112058"
"29","0.21177515553103554","0.21177515553103554","0.21177515553103554"
"30","0.21815544035699633","0.21815544035699633","0.21815544035699633"
"31","0.2169686903556188","0.2169686903556188","0.2169686903556188"
"32","0.21539647380510965","0.21539647380510965","0.21539647380510965"
"33","0.2153109312057495","0.2153109312057495","0.2153109312057495"
"34","0.21325800981786516","0.21325800981786516","0.21325800981786516"
"35","0.21488440533479056","0.21488440533479056","0.21488440533479056"
"36","0.21726787255869973","0.21726787255869973","0.21726787255869973"
"37","0.21803607046604156","0.21803607046604156","0.21803607046604156"
"38","0.21655271119541591","0.21655271119541591","0.21655271119541591"
"39","0.20953362849023607","0.20953362849023607","0.20953362849023607"
"40","0.21545413302050698","0.21545413302050698","0.21545413302050698"
"41","0.21538220511542427","0.21538220511542427","0.21538220511542427"
"42","0.2179708629846573","0.2179708629846573","0.2179708629846573"
