"Step","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","24.415467625899282","24.415467625899282","24.415467625899282"
"10","32.59892086330935","32.59892086330935","32.59892086330935"
"15","41.32194244604317","41.32194244604317","41.32194244604317"
"20","45.27877697841727","45.27877697841727","45.27877697841727"
"25","46.71762589928058","46.71762589928058","46.71762589928058"
"30","42.62589928057554","42.62589928057554","42.62589928057554"
"35","45.81834532374101","45.81834532374101","45.81834532374101"
"40","48.29136690647482","48.29136690647482","48.29136690647482"
"45","49.685251798561154","49.685251798561154","49.685251798561154"
"50","51.70863309352519","51.70863309352519","51.70863309352519"
"55","51.798561151079134","51.798561151079134","51.798561151079134"
"60","50.67446043165468","50.67446043165468","50.67446043165468"
"65","50.40467625899281","50.40467625899281","50.40467625899281"
"70","53.19244604316547","53.19244604316547","53.19244604316547"
"75","54.81115107913669","54.81115107913669","54.81115107913669"
