"Step","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","29.181654676258994","29.181654676258994","29.181654676258994"
"10","33.318345323741006","33.318345323741006","33.318345323741006"
"15","35.431654676258994","35.431654676258994","35.431654676258994"
"20","42.67086330935252","42.67086330935252","42.67086330935252"
"25","43.705035971223026","43.705035971223026","43.705035971223026"
"30","47.077338129496404","47.077338129496404","47.077338129496404"
"35","45.86330935251798","45.86330935251798","45.86330935251798"
"40","47.482014388489205","47.482014388489205","47.482014388489205"
"45","49.910071942446045","49.910071942446045","49.910071942446045"
"50","52.20323741007195","52.20323741007195","52.20323741007195"
"55","50.62949640287769","50.62949640287769","50.62949640287769"
"60","53.102517985611506","53.102517985611506","53.102517985611506"
"65","51.0341726618705","51.0341726618705","51.0341726618705"
"70","55.17086330935251","55.17086330935251","55.17086330935251"
"75","54.36151079136691","54.36151079136691","54.36151079136691"
