"Step","centralized_office_home_epochs_200 - train/variance_loss","centralized_office_home_epochs_200 - train/variance_loss__MIN","centralized_office_home_epochs_200 - train/variance_loss__MAX"
"1","1.3405249781078763","1.3405249781078763","1.3405249781078763"
"2","1.3318183686998155","1.3318183686998155","1.3318183686998155"
"3","1.3198630147510104","1.3198630147510104","1.3198630147510104"
"4","1.308788710170322","1.308788710170322","1.308788710170322"
"5","1.2981984350416396","1.2981984350416396","1.2981984350416396"
"6","1.2871080372068617","1.2871080372068617","1.2871080372068617"
"7","1.2772161960601807","1.2772161960601807","1.2772161960601807"
"8","1.269730461968316","1.269730461968316","1.269730461968316"
"9","1.2637053065829806","1.2637053065829806","1.2637053065829806"
"10","1.2538617584440443","1.2538617584440443","1.2538617584440443"
"11","1.2475204865137737","1.2475204865137737","1.2475204865137737"
"12","1.2448670996559992","1.2448670996559992","1.2448670996559992"
"13","1.2412089374330308","1.2412089374330308","1.2412089374330308"
"14","1.2378404405381944","1.2378404405381944","1.2378404405381944"
"15","1.230798946486579","1.230798946486579","1.230798946486579"
"16","1.2235328091515436","1.2235328091515436","1.2235328091515436"
"17","1.2199687560399373","1.2199687560399373","1.2199687560399373"
"18","1.2170098490185208","1.2170098490185208","1.2170098490185208"
"19","1.2136512994766235","1.2136512994766235","1.2136512994766235"
"20","1.2097285853491888","1.2097285853491888","1.2097285853491888"
"21","1.2078365087509155","1.2078365087509155","1.2078365087509155"
"22","1.2026303741667006","1.2026303741667006","1.2026303741667006"
"23","1.2002813286251492","1.2002813286251492","1.2002813286251492"
"24","1.1965689261754353","1.1965689261754353","1.1965689261754353"
"25","1.1917863289515178","1.1917863289515178","1.1917863289515178"
"26","1.190399342113071","1.190399342113071","1.190399342113071"
"27","1.1871210071775649","1.1871210071775649","1.1871210071775649"
"28","1.1816168361239963","1.1816168361239963","1.1816168361239963"
"29","1.1816876067055597","1.1816876067055597","1.1816876067055597"
"30","1.1782091061274211","1.1782091061274211","1.1782091061274211"
"31","1.1792062653435602","1.1792062653435602","1.1792062653435602"
"32","1.1731479830212064","1.1731479830212064","1.1731479830212064"
"33","1.170400685734219","1.170400685734219","1.170400685734219"
"34","1.1687343120574951","1.1687343120574951","1.1687343120574951"
"35","1.1653440925810072","1.1653440925810072","1.1653440925810072"
"36","1.1623883379830255","1.1623883379830255","1.1623883379830255"
"37","1.1602861483891804","1.1602861483891804","1.1602861483891804"
"38","1.160166515244378","1.160166515244378","1.160166515244378"
"39","1.154937704404195","1.154937704404195","1.154937704404195"
"40","1.150389273961385","1.150389273961385","1.150389273961385"
"41","1.1484037505255804","1.1484037505255804","1.1484037505255804"
"42","1.1470707919862535","1.1470707919862535","1.1470707919862535"
"43","1.146930456161499","1.146930456161499","1.146930456161499"
"44","1.1426144705878363","1.1426144705878363","1.1426144705878363"
"45","1.14140780766805","1.14140780766805","1.14140780766805"
"46","1.139762322107951","1.139762322107951","1.139762322107951"
"47","1.1412415239546034","1.1412415239546034","1.1412415239546034"
"48","1.1398987372716267","1.1398987372716267","1.1398987372716267"
"49","1.1360579199261136","1.1360579199261136","1.1360579199261136"
"50","1.134321517414517","1.134321517414517","1.134321517414517"
"51","1.1326971981260512","1.1326971981260512","1.1326971981260512"
"52","1.1300413608551025","1.1300413608551025","1.1300413608551025"
"53","1.1277791659037273","1.1277791659037273","1.1277791659037273"
"54","1.1290042930179172","1.1290042930179172","1.1290042930179172"
"55","1.1245277325312297","1.1245277325312297","1.1245277325312297"
"56","1.1254536575741239","1.1254536575741239","1.1254536575741239"
"57","1.122534500228034","1.122534500228034","1.122534500228034"
"58","1.1203049288855658","1.1203049288855658","1.1203049288855658"
"59","1.1195332606633503","1.1195332606633503","1.1195332606633503"
"60","1.1213035848405626","1.1213035848405626","1.1213035848405626"
"61","1.1202239063051012","1.1202239063051012","1.1202239063051012"
"62","1.115739795896742","1.115739795896742","1.115739795896742"
"63","1.1126851240793865","1.1126851240793865","1.1126851240793865"
"64","1.1155074702368841","1.1155074702368841","1.1155074702368841"
"65","1.1112819777594671","1.1112819777594671","1.1112819777594671"
"66","1.1090166568756104","1.1090166568756104","1.1090166568756104"
"67","1.1081404288609822","1.1081404288609822","1.1081404288609822"
"68","1.1080945862664118","1.1080945862664118","1.1080945862664118"
"69","1.1042275826136272","1.1042275826136272","1.1042275826136272"
"70","1.1050486697090998","1.1050486697090998","1.1050486697090998"
"71","1.1000747945573595","1.1000747945573595","1.1000747945573595"
"72","1.1012191772460938","1.1012191772460938","1.1012191772460938"
"73","1.0985659095976088","1.0985659095976088","1.0985659095976088"
"74","1.097333722644382","1.097333722644382","1.097333722644382"
"75","1.0956590837902493","1.0956590837902493","1.0956590837902493"
"76","1.0930994484159682","1.0930994484159682","1.0930994484159682"
"77","1.0927568011813693","1.0927568011813693","1.0927568011813693"
"78","1.0927220185597737","1.0927220185597737","1.0927220185597737"
"79","1.0912442472245958","1.0912442472245958","1.0912442472245958"
"80","1.0894970231586032","1.0894970231586032","1.0894970231586032"
"81","1.088671988911099","1.088671988911099","1.088671988911099"
"82","1.0889183282852173","1.0889183282852173","1.0889183282852173"
"83","1.0855364269680448","1.0855364269680448","1.0855364269680448"
"84","1.0805849499172635","1.0805849499172635","1.0805849499172635"
"85","1.0835904147889879","1.0835904147889879","1.0835904147889879"
"86","1.0845880640877619","1.0845880640877619","1.0845880640877619"
"87","1.0818564891815186","1.0818564891815186","1.0818564891815186"
"88","1.0819774468739827","1.0819774468739827","1.0819774468739827"
"89","1.0808243619071112","1.0808243619071112","1.0808243619071112"
"90","1.0795832872390747","1.0795832872390747","1.0795832872390747"
