"Step","combo_domain_disconnected_agents_4 - eval/angle_75th_percentile","combo_domain_disconnected_agents_4 - eval/angle_75th_percentile__MIN","combo_domain_disconnected_agents_4 - eval/angle_75th_percentile__MAX"
"5","22.593673706054688","22.593673706054688","22.593673706054688"
"10","26.049449920654297","26.049449920654297","26.049449920654297"
"15","28.21133804321289","28.21133804321289","28.21133804321289"
"20","31.635662078857422","31.635662078857422","31.635662078857422"
"25","34.294715881347656","34.294715881347656","34.294715881347656"
"30","34.19041442871094","34.19041442871094","34.19041442871094"
"35","36.12033462524414","36.12033462524414","36.12033462524414"
"40","37.41487121582031","37.41487121582031","37.41487121582031"
"45","39.1552848815918","39.1552848815918","39.1552848815918"
"50","38.87978744506836","38.87978744506836","38.87978744506836"
"55","40.61619186401367","40.61619186401367","40.61619186401367"
"60","41.36687469482422","41.36687469482422","41.36687469482422"
"65","40.3402099609375","40.3402099609375","40.3402099609375"
"70","42.2686767578125","42.2686767578125","42.2686767578125"
"75","40.49690246582031","40.49690246582031","40.49690246582031"
"80","41.364505767822266","41.364505767822266","41.364505767822266"
"85","41.73602294921875","41.73602294921875","41.73602294921875"
"90","42.36515426635742","42.36515426635742","42.36515426635742"
"95","42.03491973876953","42.03491973876953","42.03491973876953"
"100","43.58552169799805","43.58552169799805","43.58552169799805"
"105","42.74309539794922","42.74309539794922","42.74309539794922"
"110","40.63641357421875","40.63641357421875","40.63641357421875"
"115","43.16100311279297","43.16100311279297","43.16100311279297"
"120","42.90410232543945","42.90410232543945","42.90410232543945"
"125","43.747928619384766","43.747928619384766","43.747928619384766"
"130","41.579559326171875","41.579559326171875","41.579559326171875"
"135","43.5486946105957","43.5486946105957","43.5486946105957"
"140","42.072139739990234","42.072139739990234","42.072139739990234"
"145","43.28295135498047","43.28295135498047","43.28295135498047"
"150","43.29620361328125","43.29620361328125","43.29620361328125"
"155","43.570396423339844","43.570396423339844","43.570396423339844"
"160","43.38775634765625","43.38775634765625","43.38775634765625"
"165","43.23670196533203","43.23670196533203","43.23670196533203"
"170","42.71672058105469","42.71672058105469","42.71672058105469"
"175","43.82674026489258","43.82674026489258","43.82674026489258"
"180","44.58879089355469","44.58879089355469","44.58879089355469"
"185","43.29145050048828","43.29145050048828","43.29145050048828"
"190","42.33880615234375","42.33880615234375","42.33880615234375"
"195","42.87916946411133","42.87916946411133","42.87916946411133"
"200","43.486236572265625","43.486236572265625","43.486236572265625"
