"Step","centralized_office_home_epochs_200 - train/loss","centralized_office_home_epochs_200 - train/loss__MIN","centralized_office_home_epochs_200 - train/loss__MAX"
"1","40.000033908420136","40.000033908420136","40.000033908420136"
"2","38.89260058932834","38.89260058932834","38.89260058932834"
"3","38.617230309380425","38.617230309380425","38.617230309380425"
"4","38.57615534464518","38.57615534464518","38.57615534464518"
"5","38.425529056125214","38.425529056125214","38.425529056125214"
"6","38.23888863457574","38.23888863457574","38.23888863457574"
"7","38.16664547390408","38.16664547390408","38.16664547390408"
"8","38.073691050211586","38.073691050211586","38.073691050211586"
"9","37.96944046020508","37.96944046020508","37.96944046020508"
"10","37.8722301059299","37.8722301059299","37.8722301059299"
"11","37.859590742323135","37.859590742323135","37.859590742323135"
"12","37.796254052056206","37.796254052056206","37.796254052056206"
"13","37.8215209113227","37.8215209113227","37.8215209113227"
"14","37.663933224148224","37.663933224148224","37.663933224148224"
"15","37.52218119303385","37.52218119303385","37.52218119303385"
"16","37.59742948744032","37.59742948744032","37.59742948744032"
"17","37.4237060546875","37.4237060546875","37.4237060546875"
"18","37.402899424235024","37.402899424235024","37.402899424235024"
"19","37.369671715630425","37.369671715630425","37.369671715630425"
"20","37.28605312771268","37.28605312771268","37.28605312771268"
"21","37.29192352294922","37.29192352294922","37.29192352294922"
"22","37.20939424302843","37.20939424302843","37.20939424302843"
"23","37.14884567260742","37.14884567260742","37.14884567260742"
"24","37.11109330919054","37.11109330919054","37.11109330919054"
"25","37.044236501057945","37.044236501057945","37.044236501057945"
"26","37.02580685085721","37.02580685085721","37.02580685085721"
"27","36.982566833496094","36.982566833496094","36.982566833496094"
"28","36.90585581461588","36.90585581461588","36.90585581461588"
"29","36.79011535644531","36.79011535644531","36.79011535644531"
"30","36.90394168429904","36.90394168429904","36.90394168429904"
"31","36.86683654785156","36.86683654785156","36.86683654785156"
"32","36.765316009521484","36.765316009521484","36.765316009521484"
"33","36.71457205878364","36.71457205878364","36.71457205878364"
"34","36.62046771579318","36.62046771579318","36.62046771579318"
"35","36.61785973442925","36.61785973442925","36.61785973442925"
"36","36.625391218397354","36.625391218397354","36.625391218397354"
"37","36.57050450642904","36.57050450642904","36.57050450642904"
"38","36.530125088161896","36.530125088161896","36.530125088161896"
"39","36.27567503187392","36.27567503187392","36.27567503187392"
"40","36.36921946207682","36.36921946207682","36.36921946207682"
"41","36.32575903998481","36.32575903998481","36.32575903998481"
"42","36.37318335639106","36.37318335639106","36.37318335639106"
"43","36.295259687635635","36.295259687635635","36.295259687635635"
"44","36.25688171386719","36.25688171386719","36.25688171386719"
"45","36.24581993950738","36.24581993950738","36.24581993950738"
"46","36.1937501695421","36.1937501695421","36.1937501695421"
"47","36.397843254937065","36.397843254937065","36.397843254937065"
"48","36.172668033175995","36.172668033175995","36.172668033175995"
"49","36.133853912353516","36.133853912353516","36.133853912353516"
"50","36.073872884114586","36.073872884114586","36.073872884114586"
"51","36.08070288764106","36.08070288764106","36.08070288764106"
"52","36.02818128797743","36.02818128797743","36.02818128797743"
"53","36.02929136488173","36.02929136488173","36.02929136488173"
"54","36.00031958685981","36.00031958685981","36.00031958685981"
"55","35.96943071153429","35.96943071153429","35.96943071153429"
"56","35.831683264838325","35.831683264838325","35.831683264838325"
"57","36.0179320441352","36.0179320441352","36.0179320441352"
"58","35.95708719889323","35.95708719889323","35.95708719889323"
"59","35.93770217895508","35.93770217895508","35.93770217895508"
"60","35.95747714572482","35.95747714572482","35.95747714572482"
"61","35.81792238023546","35.81792238023546","35.81792238023546"
"62","35.82413652208116","35.82413652208116","35.82413652208116"
"63","35.82306332058377","35.82306332058377","35.82306332058377"
"64","35.7413330078125","35.7413330078125","35.7413330078125"
"65","35.69282235039605","35.69282235039605","35.69282235039605"
"66","35.67683453030057","35.67683453030057","35.67683453030057"
"67","35.71601019965278","35.71601019965278","35.71601019965278"
"68","35.672784169514976","35.672784169514976","35.672784169514976"
"69","35.594504038492836","35.594504038492836","35.594504038492836"
"70","35.605597178141274","35.605597178141274","35.605597178141274"
"71","35.551546308729385","35.551546308729385","35.551546308729385"
"72","35.614249759250214","35.614249759250214","35.614249759250214"
"73","35.462696923149956","35.462696923149956","35.462696923149956"
"74","35.40288162231445","35.40288162231445","35.40288162231445"
"75","35.47176064385308","35.47176064385308","35.47176064385308"
"76","35.3876953125","35.3876953125","35.3876953125"
"77","35.44842783610026","35.44842783610026","35.44842783610026"
"78","35.464131673177086","35.464131673177086","35.464131673177086"
"79","35.35247124565972","35.35247124565972","35.35247124565972"
"80","35.51618999905057","35.51618999905057","35.51618999905057"
"81","35.290987226698135","35.290987226698135","35.290987226698135"
"82","35.36623170640733","35.36623170640733","35.36623170640733"
"83","35.18234549628364","35.18234549628364","35.18234549628364"
"84","35.243827395968964","35.243827395968964","35.243827395968964"
"85","35.357859717475044","35.357859717475044","35.357859717475044"
"86","35.33010991414388","35.33010991414388","35.33010991414388"
"87","35.21993425157335","35.21993425157335","35.21993425157335"
"88","35.2841682434082","35.2841682434082","35.2841682434082"
"89","35.247765435112846","35.247765435112846","35.247765435112846"
"90","35.30681610107422","35.30681610107422","35.30681610107422"
"91","35.12516869439019","35.12516869439019","35.12516869439019"
"92","35.19780519273546","35.19780519273546","35.19780519273546"
"93","35.15152910020616","35.15152910020616","35.15152910020616"
"94","35.0980101691352","35.0980101691352","35.0980101691352"
"95","35.13296424018012","35.13296424018012","35.13296424018012"
"96","35.18903054131402","35.18903054131402","35.18903054131402"
"97","35.07952414618598","35.07952414618598","35.07952414618598"
