"Step","combo_domain_fully_connected_agents_4 - eval/angle_median","combo_domain_fully_connected_agents_4 - eval/angle_median__MIN","combo_domain_fully_connected_agents_4 - eval/angle_median__MAX"
"5","20.044055938720703","20.044055938720703","20.044055938720703"
"10","19.63636016845703","19.63636016845703","19.63636016845703"
"15","20.80868148803711","20.80868148803711","20.80868148803711"
"20","21.591951370239258","21.591951370239258","21.591951370239258"
"25","21.226028442382812","21.226028442382812","21.226028442382812"
"30","21.867698669433594","21.867698669433594","21.867698669433594"
"35","21.77772331237793","21.77772331237793","21.77772331237793"
"40","21.641332626342773","21.641332626342773","21.641332626342773"
"45","22.053544998168945","22.053544998168945","22.053544998168945"
"50","22.576988220214844","22.576988220214844","22.576988220214844"
"55","21.4405574798584","21.4405574798584","21.4405574798584"
"60","22.31850814819336","22.31850814819336","22.31850814819336"
"65","22.236045837402344","22.236045837402344","22.236045837402344"
"70","21.62630844116211","21.62630844116211","21.62630844116211"
"75","23.304340362548828","23.304340362548828","23.304340362548828"
"80","22.37990379333496","22.37990379333496","22.37990379333496"
"85","22.257022857666016","22.257022857666016","22.257022857666016"
"90","24.230955123901367","24.230955123901367","24.230955123901367"
"95","24.510482788085938","24.510482788085938","24.510482788085938"
"100","23.691783905029297","23.691783905029297","23.691783905029297"
"105","23.83928680419922","23.83928680419922","23.83928680419922"
"110","22.800926208496094","22.800926208496094","22.800926208496094"
"115","22.070632934570312","22.070632934570312","22.070632934570312"
"120","23.520343780517578","23.520343780517578","23.520343780517578"
"125","22.774696350097656","22.774696350097656","22.774696350097656"
"130","22.799280166625977","22.799280166625977","22.799280166625977"
"135","23.173912048339844","23.173912048339844","23.173912048339844"
"140","22.655689239501953","22.655689239501953","22.655689239501953"
"145","23.63679313659668","23.63679313659668","23.63679313659668"
"150","22.46265411376953","22.46265411376953","22.46265411376953"
"155","22.33749771118164","22.33749771118164","22.33749771118164"
"160","22.398927688598633","22.398927688598633","22.398927688598633"
"165","23.151470184326172","23.151470184326172","23.151470184326172"
"170","22.828107833862305","22.828107833862305","22.828107833862305"
"175","22.203153610229492","22.203153610229492","22.203153610229492"
"180","22.77130889892578","22.77130889892578","22.77130889892578"
"185","23.877605438232422","23.877605438232422","23.877605438232422"
"190","22.20946502685547","22.20946502685547","22.20946502685547"
"195","22.791065216064453","22.791065216064453","22.791065216064453"
"200","22.570751190185547","22.570751190185547","22.570751190185547"
