"Step","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","24.23561151079137","24.23561151079137","24.23561151079137"
"10","29.721223021582738","29.721223021582738","29.721223021582738"
"15","32.10431654676259","32.10431654676259","32.10431654676259"
"20","39.343525179856115","39.343525179856115","39.343525179856115"
"25","41.54676258992806","41.54676258992806","41.54676258992806"
"30","42.13129496402878","42.13129496402878","42.13129496402878"
"35","40.96223021582733","40.96223021582733","40.96223021582733"
"40","40.78237410071942","40.78237410071942","40.78237410071942"
"45","39.47841726618705","39.47841726618705","39.47841726618705"
"50","45.143884892086334","45.143884892086334","45.143884892086334"
"55","45.05395683453237","45.05395683453237","45.05395683453237"
"60","46.223021582733814","46.223021582733814","46.223021582733814"
"65","49.77517985611511","49.77517985611511","49.77517985611511"
"70","46.71762589928058","46.71762589928058","46.71762589928058"
"75","49.955035971223026","49.955035971223026","49.955035971223026"
