"Step","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","26.07913669064748","26.07913669064748","26.07913669064748"
"10","36.780575539568346","36.780575539568346","36.780575539568346"
"15","43.25539568345323","43.25539568345323","43.25539568345323"
"20","43.660071942446045","43.660071942446045","43.660071942446045"
"25","45.818345323741006","45.818345323741006","45.818345323741006"
"30","48.29136690647482","48.29136690647482","48.29136690647482"
"35","48.51618705035972","48.51618705035972","48.51618705035972"
"40","45.77338129496403","45.77338129496403","45.77338129496403"
"45","48.65107913669065","48.65107913669065","48.65107913669065"
"50","51.75359712230216","51.75359712230216","51.75359712230216"
"55","51.48381294964029","51.48381294964029","51.48381294964029"
"60","52.068345323741006","52.068345323741006","52.068345323741006"
"65","53.28237410071942","53.28237410071942","53.28237410071942"
"70","51.93345323741007","51.93345323741007","51.93345323741007"
"75","56.51978417266187","56.51978417266187","56.51978417266187"
