"Step","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","30.665467625899282","30.665467625899282","30.665467625899282"
"10","35.881294964028775","35.881294964028775","35.881294964028775"
"15","38.89388489208633","38.89388489208633","38.89388489208633"
"20","44.19964028776978","44.19964028776978","44.19964028776978"
"25","45.68345323741007","45.68345323741007","45.68345323741007"
"30","46.49280575539568","46.49280575539568","46.49280575539568"
"35","47.03237410071942","47.03237410071942","47.03237410071942"
"40","46.402877697841724","46.402877697841724","46.402877697841724"
"45","47.257194244604314","47.257194244604314","47.257194244604314"
"50","51.75359712230216","51.75359712230216","51.75359712230216"
"55","47.97661870503597","47.97661870503597","47.97661870503597"
"60","47.88669064748201","47.88669064748201","47.88669064748201"
"65","48.78597122302158","48.78597122302158","48.78597122302158"
"70","50.67446043165467","50.67446043165467","50.67446043165467"
"75","52.74280575539568","52.74280575539568","52.74280575539568"
