"Step","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","43.878","43.878","43.878"
"10","46.614","46.614","46.614"
"15","46.83","46.83","46.83"
"20","47.13","47.13","47.13"
"25","48.062","48.062","48.062"
"30","48.63","48.63","48.63"
"35","49.879999999999995","49.879999999999995","49.879999999999995"
"40","50.33","50.33","50.33"
"45","50.815999999999995","50.815999999999995","50.815999999999995"
"50","51.528","51.528","51.528"
"55","52.374","52.374","52.374"
"60","52.562","52.562","52.562"
"65","52.76800000000001","52.76800000000001","52.76800000000001"
"70","53.260000000000005","53.260000000000005","53.260000000000005"
"75","53.27","53.27","53.27"
"80","53.919999999999995","53.919999999999995","53.919999999999995"
"85","54.162","54.162","54.162"
"90","54.686","54.686","54.686"
"95","55.186","55.186","55.186"
"100","55.565999999999995","55.565999999999995","55.565999999999995"
"105","55.91600000000001","55.91600000000001","55.91600000000001"
"110","56.324","56.324","56.324"
"115","56.35","56.35","56.35"
"120","56.45799999999999","56.45799999999999","56.45799999999999"
"125","56.45","56.45","56.45"
"130","56.91400000000001","56.91400000000001","56.91400000000001"
"135","57.88599999999999","57.88599999999999","57.88599999999999"
"140","57.886","57.886","57.886"
"145","58.42999999999999","58.42999999999999","58.42999999999999"
"150","58.46600000000001","58.46600000000001","58.46600000000001"
"155","58.576","58.576","58.576"
"160","59.279999999999994","59.279999999999994","59.279999999999994"
"165","59.372","59.372","59.372"
"170","59.748000000000005","59.748000000000005","59.748000000000005"
"175","59.524","59.524","59.524"
"180","59.616","59.616","59.616"
"185","59.992","59.992","59.992"
"190","60.036","60.036","60.036"
"195","60.376","60.376","60.376"
"200","60.462","60.462","60.462"
