"Step","combo_domain_fully_connected_agents_4 - eval/angle_25th_percentile","combo_domain_fully_connected_agents_4 - eval/angle_25th_percentile__MIN","combo_domain_fully_connected_agents_4 - eval/angle_25th_percentile__MAX"
"5","18.156116485595703","18.156116485595703","18.156116485595703"
"10","18.300018310546875","18.300018310546875","18.300018310546875"
"15","18.496809005737305","18.496809005737305","18.496809005737305"
"20","18.917797088623047","18.917797088623047","18.917797088623047"
"25","18.88844871520996","18.88844871520996","18.88844871520996"
"30","19.408809661865234","19.408809661865234","19.408809661865234"
"35","19.212194442749023","19.212194442749023","19.212194442749023"
"40","19.127944946289062","19.127944946289062","19.127944946289062"
"45","19.23746109008789","19.23746109008789","19.23746109008789"
"50","20.126766204833984","20.126766204833984","20.126766204833984"
"55","19.21631622314453","19.21631622314453","19.21631622314453"
"60","19.706008911132812","19.706008911132812","19.706008911132812"
"65","19.90837287902832","19.90837287902832","19.90837287902832"
"70","19.512741088867188","19.512741088867188","19.512741088867188"
"75","20.71478271484375","20.71478271484375","20.71478271484375"
"80","19.769250869750977","19.769250869750977","19.769250869750977"
"85","19.6390323638916","19.6390323638916","19.6390323638916"
"90","21.254615783691406","21.254615783691406","21.254615783691406"
"95","21.365718841552734","21.365718841552734","21.365718841552734"
"100","21.169384002685547","21.169384002685547","21.169384002685547"
"105","20.809473037719727","20.809473037719727","20.809473037719727"
"110","20.176605224609375","20.176605224609375","20.176605224609375"
"115","20.02480125427246","20.02480125427246","20.02480125427246"
"120","21.149127960205078","21.149127960205078","21.149127960205078"
"125","20.494901657104492","20.494901657104492","20.494901657104492"
"130","20.762344360351562","20.762344360351562","20.762344360351562"
"135","20.62872886657715","20.62872886657715","20.62872886657715"
"140","20.52189826965332","20.52189826965332","20.52189826965332"
"145","21.50957489013672","21.50957489013672","21.50957489013672"
"150","20.34074592590332","20.34074592590332","20.34074592590332"
"155","20.742961883544922","20.742961883544922","20.742961883544922"
"160","20.32293701171875","20.32293701171875","20.32293701171875"
"165","20.85578727722168","20.85578727722168","20.85578727722168"
"170","20.67245864868164","20.67245864868164","20.67245864868164"
"175","20.244993209838867","20.244993209838867","20.244993209838867"
"180","20.702781677246094","20.702781677246094","20.702781677246094"
"185","21.47492218017578","21.47492218017578","21.47492218017578"
"190","20.557706832885742","20.557706832885742","20.557706832885742"
"195","20.75457000732422","20.75457000732422","20.75457000732422"
"200","20.630781173706055","20.630781173706055","20.630781173706055"
