"Step","decentralized_disconnected_agents_15_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_disconnected_agents_15_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_disconnected_agents_15_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","36.50533333333333","36.50533333333333","36.50533333333333"
"10","37.496","37.496","37.496"
"15","38.18266666666667","38.18266666666667","38.18266666666667"
"20","38.62466666666667","38.62466666666667","38.62466666666667"
"25","39.04666666666667","39.04666666666667","39.04666666666667"
"30","39.44733333333333","39.44733333333333","39.44733333333333"
"35","39.757333333333335","39.757333333333335","39.757333333333335"
"40","39.88666666666666","39.88666666666666","39.88666666666666"
"45","40.248000000000005","40.248000000000005","40.248000000000005"
"50","40.66466666666667","40.66466666666667","40.66466666666667"
"55","40.85133333333332","40.85133333333332","40.85133333333332"
"60","40.977333333333334","40.977333333333334","40.977333333333334"
"65","41.15533333333334","41.15533333333334","41.15533333333334"
"70","41.179333333333325","41.179333333333325","41.179333333333325"
"75","41.39533333333334","41.39533333333334","41.39533333333334"
"80","41.70933333333333","41.70933333333333","41.70933333333333"
"85","41.89333333333333","41.89333333333333","41.89333333333333"
"90","41.976000000000006","41.976000000000006","41.976000000000006"
"95","42.056666666666665","42.056666666666665","42.056666666666665"
"100","42.54533333333334","42.54533333333334","42.54533333333334"
"105","42.53399999999999","42.53399999999999","42.53399999999999"
"110","42.62333333333333","42.62333333333333","42.62333333333333"
"115","42.850666666666676","42.850666666666676","42.850666666666676"
"120","42.75733333333333","42.75733333333333","42.75733333333333"
"125","43.214000000000006","43.214000000000006","43.214000000000006"
"130","42.97133333333333","42.97133333333333","42.97133333333333"
"135","43.336000000000006","43.336000000000006","43.336000000000006"
"140","43.236","43.236","43.236"
"145","43.368","43.368","43.368"
"150","43.53133333333334","43.53133333333334","43.53133333333334"
"155","43.854","43.854","43.854"
"160","43.918000000000006","43.918000000000006","43.918000000000006"
"165","43.95066666666667","43.95066666666667","43.95066666666667"
"170","44.184000000000005","44.184000000000005","44.184000000000005"
"175","44.14200000000001","44.14200000000001","44.14200000000001"
"180","44.24866666666665","44.24866666666665","44.24866666666665"
"185","44.24933333333334","44.24933333333334","44.24933333333334"
"190","44.47066666666667","44.47066666666667","44.47066666666667"
"195","44.36666666666666","44.36666666666666","44.36666666666666"
"200","44.498","44.498","44.498"
