"Step","decentralized_random_agents_15_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_random_agents_15_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_random_agents_15_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","41.231333333333325","41.231333333333325","41.231333333333325"
"10","42.56333333333334","42.56333333333334","42.56333333333334"
"15","43.29","43.29","43.29"
"20","43.87933333333333","43.87933333333333","43.87933333333333"
"25","44.276","44.276","44.276"
"30","44.54","44.54","44.54"
"35","44.72","44.72","44.72"
"40","45.11066666666667","45.11066666666667","45.11066666666667"
"45","45.220666666666666","45.220666666666666","45.220666666666666"
"50","45.41733333333334","45.41733333333334","45.41733333333334"
"55","45.47666666666666","45.47666666666666","45.47666666666666"
"60","45.61533333333334","45.61533333333334","45.61533333333334"
"65","45.732","45.732","45.732"
"70","45.92733333333333","45.92733333333333","45.92733333333333"
"75","46.394","46.394","46.394"
"80","46.64933333333333","46.64933333333333","46.64933333333333"
"85","47.21666666666667","47.21666666666667","47.21666666666667"
"90","47.082","47.082","47.082"
"95","47.60600000000001","47.60600000000001","47.60600000000001"
"100","47.666000000000004","47.666000000000004","47.666000000000004"
"105","47.94266666666666","47.94266666666666","47.94266666666666"
"110","48.14066666666667","48.14066666666667","48.14066666666667"
"115","48.25066666666668","48.25066666666668","48.25066666666668"
"120","48.45666666666667","48.45666666666667","48.45666666666667"
"125","48.74333333333333","48.74333333333333","48.74333333333333"
"130","48.80999999999999","48.80999999999999","48.80999999999999"
"135","48.87333333333333","48.87333333333333","48.87333333333333"
"140","49.034000000000006","49.034000000000006","49.034000000000006"
"145","49.246","49.246","49.246"
"150","49.42933333333334","49.42933333333334","49.42933333333334"
"155","49.51866666666667","49.51866666666667","49.51866666666667"
"160","49.77333333333333","49.77333333333333","49.77333333333333"
"165","50.03133333333333","50.03133333333333","50.03133333333333"
"170","49.842","49.842","49.842"
"175","49.848","49.848","49.848"
"180","50.184","50.184","50.184"
"185","50.31666666666665","50.31666666666665","50.31666666666665"
"190","50.27733333333333","50.27733333333333","50.27733333333333"
"195","50.26","50.26","50.26"
"200","50.815333333333335","50.815333333333335","50.815333333333335"
