"Step","combo_domain_disconnected_agents_4 - eval/angle_25th_percentile","combo_domain_disconnected_agents_4 - eval/angle_25th_percentile__MIN","combo_domain_disconnected_agents_4 - eval/angle_25th_percentile__MAX"
"5","18.153196334838867","18.153196334838867","18.153196334838867"
"10","20.545869827270508","20.545869827270508","20.545869827270508"
"15","22.015581130981445","22.015581130981445","22.015581130981445"
"20","24.66140365600586","24.66140365600586","24.66140365600586"
"25","26.035062789916992","26.035062789916992","26.035062789916992"
"30","26.079620361328125","26.079620361328125","26.079620361328125"
"35","27.386672973632812","27.386672973632812","27.386672973632812"
"40","28.59986114501953","28.59986114501953","28.59986114501953"
"45","29.82049560546875","29.82049560546875","29.82049560546875"
"50","30.181533813476562","30.181533813476562","30.181533813476562"
"55","31.88145637512207","31.88145637512207","31.88145637512207"
"60","31.954458236694336","31.954458236694336","31.954458236694336"
"65","31.857097625732422","31.857097625732422","31.857097625732422"
"70","33.018768310546875","33.018768310546875","33.018768310546875"
"75","31.879579544067383","31.879579544067383","31.879579544067383"
"80","32.451324462890625","32.451324462890625","32.451324462890625"
"85","33.01915740966797","33.01915740966797","33.01915740966797"
"90","34.335819244384766","34.335819244384766","34.335819244384766"
"95","33.50865936279297","33.50865936279297","33.50865936279297"
"100","34.20475769042969","34.20475769042969","34.20475769042969"
"105","34.637786865234375","34.637786865234375","34.637786865234375"
"110","32.94561767578125","32.94561767578125","32.94561767578125"
"115","35.056983947753906","35.056983947753906","35.056983947753906"
"120","34.31903839111328","34.31903839111328","34.31903839111328"
"125","35.145294189453125","35.145294189453125","35.145294189453125"
"130","34.368072509765625","34.368072509765625","34.368072509765625"
"135","34.89350509643555","34.89350509643555","34.89350509643555"
"140","34.37614440917969","34.37614440917969","34.37614440917969"
"145","35.2108039855957","35.2108039855957","35.2108039855957"
"150","35.087806701660156","35.087806701660156","35.087806701660156"
"155","35.15381622314453","35.15381622314453","35.15381622314453"
"160","35.342716217041016","35.342716217041016","35.342716217041016"
"165","35.347923278808594","35.347923278808594","35.347923278808594"
"170","35.30029296875","35.30029296875","35.30029296875"
"175","36.33993911743164","36.33993911743164","36.33993911743164"
"180","36.96535873413086","36.96535873413086","36.96535873413086"
"185","35.858184814453125","35.858184814453125","35.858184814453125"
"190","34.51683807373047","34.51683807373047","34.51683807373047"
"195","35.375511169433594","35.375511169433594","35.375511169433594"
"200","36.44834899902344","36.44834899902344","36.44834899902344"
