"Step","combo_label_skew_fully_connected_agents_5 - eval/avg_combo_accuracy","combo_label_skew_fully_connected_agents_5 - eval/avg_combo_accuracy__MIN","combo_label_skew_fully_connected_agents_5 - eval/avg_combo_accuracy__MAX"
"5","19.852","19.852","19.852"
"10","24.970000000000002","24.970000000000002","24.970000000000002"
"15","26.880000000000003","26.880000000000003","26.880000000000003"
"20","28.584000000000003","28.584000000000003","28.584000000000003"
"25","31.462","31.462","31.462"
"30","31.154000000000003","31.154000000000003","31.154000000000003"
"35","31.808000000000003","31.808000000000003","31.808000000000003"
"40","32.368","32.368","32.368"
"45","33.19","33.19","33.19"
"50","34.053999999999995","34.053999999999995","34.053999999999995"
"55","34.096","34.096","34.096"
"60","35.078","35.078","35.078"
"65","33.96","33.96","33.96"
"70","35.636","35.636","35.636"
"75","35.376","35.376","35.376"
"80","35.763999999999996","35.763999999999996","35.763999999999996"
"85","35.13","35.13","35.13"
"90","36.802","36.802","36.802"
"95","37.228","37.228","37.228"
"100","36.598","36.598","36.598"
"105","37.114000000000004","37.114000000000004","37.114000000000004"
"110","37.414","37.414","37.414"
"115","37.186","37.186","37.186"
"120","37.938","37.938","37.938"
"125","38.017999999999994","38.017999999999994","38.017999999999994"
"130","38.242000000000004","38.242000000000004","38.242000000000004"
"135","37.84","37.84","37.84"
"140","38.558","38.558","38.558"
"145","38.5","38.5","38.5"
"150","38.239999999999995","38.239999999999995","38.239999999999995"
"155","38.082","38.082","38.082"
"160","39.538","39.538","39.538"
"165","39.42","39.42","39.42"
"170","39.263999999999996","39.263999999999996","39.263999999999996"
"175","38.876","38.876","38.876"
"180","39.385999999999996","39.385999999999996","39.385999999999996"
"185","39.525999999999996","39.525999999999996","39.525999999999996"
"190","39.833999999999996","39.833999999999996","39.833999999999996"
"195","39.73800000000001","39.73800000000001","39.73800000000001"
"200","40.034000000000006","40.034000000000006","40.034000000000006"
