"Step","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","44.86","44.86","44.86"
"10","45.65400000000001","45.65400000000001","45.65400000000001"
"15","47.132","47.132","47.132"
"20","48.104","48.104","48.104"
"25","48.965999999999994","48.965999999999994","48.965999999999994"
"30","49.278000000000006","49.278000000000006","49.278000000000006"
"35","49.756","49.756","49.756"
"40","50.578","50.578","50.578"
"45","51.592","51.592","51.592"
"50","51.812","51.812","51.812"
"55","52.352","52.352","52.352"
"60","52.970000000000006","52.970000000000006","52.970000000000006"
"65","53.470000000000006","53.470000000000006","53.470000000000006"
"70","53.398","53.398","53.398"
"75","54.092","54.092","54.092"
"80","55.040000000000006","55.040000000000006","55.040000000000006"
"85","55.2","55.2","55.2"
"90","54.803999999999995","54.803999999999995","54.803999999999995"
"95","55.122","55.122","55.122"
"100","55.45","55.45","55.45"
"105","55.958000000000006","55.958000000000006","55.958000000000006"
"110","55.854000000000006","55.854000000000006","55.854000000000006"
"115","56.815999999999995","56.815999999999995","56.815999999999995"
"120","56.746","56.746","56.746"
"125","57.348","57.348","57.348"
"130","57.227999999999994","57.227999999999994","57.227999999999994"
"135","57.174","57.174","57.174"
"140","58.362","58.362","58.362"
"145","58.367999999999995","58.367999999999995","58.367999999999995"
"150","58.986000000000004","58.986000000000004","58.986000000000004"
"155","58.396","58.396","58.396"
"160","59.06","59.06","59.06"
"165","59.46","59.46","59.46"
"170","59.278","59.278","59.278"
"175","59.742000000000004","59.742000000000004","59.742000000000004"
"180","60.09400000000001","60.09400000000001","60.09400000000001"
"185","60.472","60.472","60.472"
"190","60.342","60.342","60.342"
"195","60.488","60.488","60.488"
"200","60.483999999999995","60.483999999999995","60.483999999999995"
