"Step","centralized_office_home_epochs_200 - train/covariance_loss","centralized_office_home_epochs_200 - train/covariance_loss__MIN","centralized_office_home_epochs_200 - train/covariance_loss__MAX"
"1","2.060406062338087","2.060406062338087","2.060406062338087"
"2","1.0258431567086115","1.0258431567086115","1.0258431567086115"
"3","0.9691230985853407","0.9691230985853407","0.9691230985853407"
"4","1.0334223442607455","1.0334223442607455","1.0334223442607455"
"5","1.1083610587649875","1.1083610587649875","1.1083610587649875"
"6","1.1864998473061457","1.1864998473061457","1.1864998473061457"
"7","1.2901144822438557","1.2901144822438557","1.2901144822438557"
"8","1.3588649431864421","1.3588649431864421","1.3588649431864421"
"9","1.3817379474639893","1.3817379474639893","1.3817379474639893"
"10","1.4924112558364868","1.4924112558364868","1.4924112558364868"
"11","1.5440264542897542","1.5440264542897542","1.5440264542897542"
"12","1.5389114618301392","1.5389114618301392","1.5389114618301392"
"13","1.5363553365071614","1.5363553365071614","1.5363553365071614"
"14","1.563338081041972","1.563338081041972","1.563338081041972"
"15","1.615856899155511","1.615856899155511","1.615856899155511"
"16","1.7073983483844333","1.7073983483844333","1.7073983483844333"
"17","1.7201315826839871","1.7201315826839871","1.7201315826839871"
"18","1.7366667721006606","1.7366667721006606","1.7366667721006606"
"19","1.7546635998619928","1.7546635998619928","1.7546635998619928"
"20","1.7834614515304565","1.7834614515304565","1.7834614515304565"
"21","1.7744042211108737","1.7744042211108737","1.7744042211108737"
"22","1.8496930201848347","1.8496930201848347","1.8496930201848347"
"23","1.8638450039757624","1.8638450039757624","1.8638450039757624"
"24","1.8742830091052585","1.8742830091052585","1.8742830091052585"
"25","1.9288504388597276","1.9288504388597276","1.9288504388597276"
"26","1.8927723699145846","1.8927723699145846","1.8927723699145846"
"27","1.9478609561920166","1.9478609561920166","1.9478609561920166"
"28","2.0091799894968667","2.0091799894968667","2.0091799894968667"
"29","1.953546126683553","1.953546126683553","1.953546126683553"
"30","1.9948286083009508","1.9948286083009508","1.9948286083009508"
"31","1.962462306022644","1.962462306022644","1.962462306022644"
"32","2.0517052279578314","2.0517052279578314","2.0517052279578314"
"33","2.0717818207210965","2.0717818207210965","2.0717818207210965"
"34","2.0706599023607044","2.0706599023607044","2.0706599023607044"
"35","2.112146986855401","2.112146986855401","2.112146986855401"
"36","2.133985996246338","2.133985996246338","2.133985996246338"
"37","2.112449328104655","2.112449328104655","2.112449328104655"
"38","2.11214460266961","2.11214460266961","2.11214460266961"
"39","2.163891871770223","2.163891871770223","2.163891871770223"
"40","2.2231348090701633","2.2231348090701633","2.2231348090701633"
"41","2.231110864215427","2.231110864215427","2.231110864215427"
"42","2.247141864564684","2.247141864564684","2.247141864564684"
"43","2.1954215632544622","2.1954215632544622","2.1954215632544622"
"44","2.2795028686523438","2.2795028686523438","2.2795028686523438"
"45","2.2669386863708496","2.2669386863708496","2.2669386863708496"
"46","2.3025522232055664","2.3025522232055664","2.3025522232055664"
"47","2.27500934071011","2.27500934071011","2.27500934071011"
"48","2.264782190322876","2.264782190322876","2.264782190322876"
"49","2.3041572040981717","2.3041572040981717","2.3041572040981717"
"50","2.285030417972141","2.285030417972141","2.285030417972141"
"51","2.317115545272827","2.317115545272827","2.317115545272827"
"52","2.3367679119110107","2.3367679119110107","2.3367679119110107"
"53","2.369684033923679","2.369684033923679","2.369684033923679"
"54","2.303296830919054","2.303296830919054","2.303296830919054"
"55","2.4207058482699924","2.4207058482699924","2.4207058482699924"
"56","2.3483125368754068","2.3483125368754068","2.3483125368754068"
"57","2.374623351626926","2.374623351626926","2.374623351626926"
"58","2.4342892699771457","2.4342892699771457","2.4342892699771457"
"59","2.4145650068918862","2.4145650068918862","2.4145650068918862"
"60","2.3864493899875217","2.3864493899875217","2.3864493899875217"
"61","2.3684562312232122","2.3684562312232122","2.3684562312232122"
"62","2.3833979500664606","2.3833979500664606","2.3833979500664606"
"63","2.473502106136746","2.473502106136746","2.473502106136746"
"64","2.387146419949002","2.387146419949002","2.387146419949002"
"65","2.455652952194214","2.455652952194214","2.455652952194214"
"66","2.4828848838806152","2.4828848838806152","2.4828848838806152"
"67","2.4454157617357044","2.4454157617357044","2.4454157617357044"
"68","2.4672136306762695","2.4672136306762695","2.4672136306762695"
"69","2.511504146787855","2.511504146787855","2.511504146787855"
"70","2.4352573023902044","2.4352573023902044","2.4352573023902044"
"71","2.5348432858784995","2.5348432858784995","2.5348432858784995"
"72","2.49151341120402","2.49151341120402","2.49151341120402"
"73","2.5054100089603","2.5054100089603","2.5054100089603"
"74","2.555238511827257","2.555238511827257","2.555238511827257"
"75","2.5175887478722467","2.5175887478722467","2.5175887478722467"
"76","2.5569465160369873","2.5569465160369873","2.5569465160369873"
"77","2.5572936005062528","2.5572936005062528","2.5572936005062528"
"78","2.567205402586195","2.567205402586195","2.567205402586195"
"79","2.6049387719896107","2.6049387719896107","2.6049387719896107"
