"Step","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_personalized_accuracy","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_personalized_accuracy__MIN","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_personalized_accuracy__MAX"
"5","47.61798962295849","47.61798962295849","47.61798962295849"
"10","49.93067633789193","49.93067633789193","49.93067633789193"
"15","51.95581347631014","51.95581347631014","51.95581347631014"
"20","51.81898886026617","51.81898886026617","51.81898886026617"
"25","53.79639870963509","53.79639870963509","53.79639870963509"
"30","53.81592046460692","53.81592046460692","53.81592046460692"
"35","55.584439571670124","55.584439571670124","55.584439571670124"
"40","55.245117736898216","55.245117736898216","55.245117736898216"
"45","55.51692440217671","55.51692440217671","55.51692440217671"
"50","56.18515885901699","56.18515885901699","56.18515885901699"
"55","56.393500324718026","56.393500324718026","56.393500324718026"
"60","56.99656433558937","56.99656433558937","56.99656433558937"
"65","56.98282732442878","56.98282732442878","56.98282732442878"
"70","57.38577300752718","57.38577300752718","57.38577300752718"
"75","57.35790665261271","57.35790665261271","57.35790665261271"
"80","57.43764937255571","57.43764937255571","57.43764937255571"
"85","58.28873025095466","58.28873025095466","58.28873025095466"
"90","57.83313859528831","57.83313859528831","57.83313859528831"
"95","58.384228958377","58.384228958377","58.384228958377"
"100","57.844379097717024","57.844379097717024","57.844379097717024"
"105","57.501829163409205","57.501829163409205","57.501829163409205"
"110","58.651146041058134","58.651146041058134","58.651146041058134"
"115","58.74095291909642","58.74095291909642","58.74095291909642"
"120","58.20132117082344","58.20132117082344","58.20132117082344"
"125","58.49744883350636","58.49744883350636","58.49744883350636"
"130","58.794431975453996","58.794431975453996","58.794431975453996"
"135","59.526547442575236","59.526547442575236","59.526547442575236"
"140","59.26296466617805","59.26296466617805","59.26296466617805"
"145","59.239637698907686","59.239637698907686","59.239637698907686"
"150","59.664465155292724","59.664465155292724","59.664465155292724"
"155","59.52428720222923","59.52428720222923","59.52428720222923"
"160","60.005272182188364","60.005272182188364","60.005272182188364"
"165","60.65548609267935","60.65548609267935","60.65548609267935"
"170","60.30578089995722","60.30578089995722","60.30578089995722"
"175","60.359616500999564","60.359616500999564","60.359616500999564"
"180","59.36042649337573","59.36042649337573","59.36042649337573"
"185","60.69455957828101","60.69455957828101","60.69455957828101"
"190","60.48748313186438","60.48748313186438","60.48748313186438"
"195","61.0662460060678","61.0662460060678","61.0662460060678"
"200","60.22104258828806","60.22104258828806","60.22104258828806"
