"Step","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","27.02338129496403","27.02338129496403","27.02338129496403"
"10","31.51978417266187","31.51978417266187","31.51978417266187"
"15","36.42086330935252","36.42086330935252","36.42086330935252"
"20","39.163669064748206","39.163669064748206","39.163669064748206"
"25","39.74820143884892","39.74820143884892","39.74820143884892"
"30","40.51258992805756","40.51258992805756","40.51258992805756"
"35","40.197841726618705","40.197841726618705","40.197841726618705"
"40","38.1294964028777","38.1294964028777","38.1294964028777"
"45","40.422661870503596","40.422661870503596","40.422661870503596"
"50","41.27697841726619","41.27697841726619","41.27697841726619"
"55","43.75","43.75","43.75"
"60","42.31115107913669","42.31115107913669","42.31115107913669"
"65","41.41187050359713","41.41187050359713","41.41187050359713"
"70","41.052158273381295","41.052158273381295","41.052158273381295"
"75","41.906474820143885","41.906474820143885","41.906474820143885"
