"Step","decentralized_fully_connected_agents_10_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_fully_connected_agents_10_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_fully_connected_agents_10_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","41.71900000000001","41.71900000000001","41.71900000000001"
"10","43.955999999999996","43.955999999999996","43.955999999999996"
"15","45.391000000000005","45.391000000000005","45.391000000000005"
"20","45.934000000000005","45.934000000000005","45.934000000000005"
"25","45.84500000000001","45.84500000000001","45.84500000000001"
"30","46.831999999999994","46.831999999999994","46.831999999999994"
"35","47.205","47.205","47.205"
"40","47.925","47.925","47.925"
"45","48.131","48.131","48.131"
"50","48.641999999999996","48.641999999999996","48.641999999999996"
"55","48.88699999999999","48.88699999999999","48.88699999999999"
"60","49.208","49.208","49.208"
"65","49.738","49.738","49.738"
"70","49.949","49.949","49.949"
"75","50.236000000000004","50.236000000000004","50.236000000000004"
"80","50.735","50.735","50.735"
"85","50.64699999999999","50.64699999999999","50.64699999999999"
"90","50.903999999999996","50.903999999999996","50.903999999999996"
"95","51.096000000000004","51.096000000000004","51.096000000000004"
"100","51.465999999999994","51.465999999999994","51.465999999999994"
"105","51.698","51.698","51.698"
"110","51.97400000000001","51.97400000000001","51.97400000000001"
"115","52.038","52.038","52.038"
"120","51.748000000000005","51.748000000000005","51.748000000000005"
"125","52.531000000000006","52.531000000000006","52.531000000000006"
"130","52.362","52.362","52.362"
"135","52.818","52.818","52.818"
"140","52.987","52.987","52.987"
"145","53.019999999999996","53.019999999999996","53.019999999999996"
"150","53.515","53.515","53.515"
"155","53.20899999999999","53.20899999999999","53.20899999999999"
"160","53.354000000000006","53.354000000000006","53.354000000000006"
"165","53.29600000000001","53.29600000000001","53.29600000000001"
"170","54.126","54.126","54.126"
"175","53.83200000000001","53.83200000000001","53.83200000000001"
"180","54.181","54.181","54.181"
"185","53.803999999999995","53.803999999999995","53.803999999999995"
"190","53.885000000000005","53.885000000000005","53.885000000000005"
"195","54.471999999999994","54.471999999999994","54.471999999999994"
"200","54.126","54.126","54.126"
