"Step","decentralized_random_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_random_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_random_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","42.348","42.348","42.348"
"10","44.968","44.968","44.968"
"15","46.190000000000005","46.190000000000005","46.190000000000005"
"20","46.914","46.914","46.914"
"25","47.366","47.366","47.366"
"30","47.66799999999999","47.66799999999999","47.66799999999999"
"35","48.230000000000004","48.230000000000004","48.230000000000004"
"40","49.291999999999994","49.291999999999994","49.291999999999994"
"45","49.342000000000006","49.342000000000006","49.342000000000006"
"50","49.656","49.656","49.656"
"55","50.378","50.378","50.378"
"60","50.778000000000006","50.778000000000006","50.778000000000006"
"65","50.94","50.94","50.94"
"70","51.422000000000004","51.422000000000004","51.422000000000004"
"75","51.818","51.818","51.818"
"80","51.965999999999994","51.965999999999994","51.965999999999994"
"85","52.367999999999995","52.367999999999995","52.367999999999995"
"90","52.322","52.322","52.322"
"95","52.742","52.742","52.742"
"100","52.902","52.902","52.902"
"105","53.098","53.098","53.098"
"110","53.355999999999995","53.355999999999995","53.355999999999995"
"115","53.64200000000001","53.64200000000001","53.64200000000001"
"120","53.556","53.556","53.556"
"125","53.676","53.676","53.676"
"130","53.862","53.862","53.862"
"135","54.262","54.262","54.262"
"140","54.472","54.472","54.472"
"145","54.522000000000006","54.522000000000006","54.522000000000006"
"150","54.714","54.714","54.714"
"155","55.052","55.052","55.052"
"160","54.934000000000005","54.934000000000005","54.934000000000005"
"165","55.098","55.098","55.098"
"170","55.148","55.148","55.148"
"175","54.984","54.984","54.984"
"180","55.29600000000001","55.29600000000001","55.29600000000001"
"185","55.471999999999994","55.471999999999994","55.471999999999994"
"190","56.02","56.02","56.02"
"195","55.68399999999999","55.68399999999999","55.68399999999999"
"200","56.17999999999999","56.17999999999999","56.17999999999999"
